title,organisation,format,tags,url
Message-Passing with MPI,EPCC/ARCHER2,Online (self-service),"Parallelism, MPI",https://www.archer2.ac.uk/training/courses/210000-mpi-self-service/
Shared Memory Programming with OpenMP,EPCC/ARCHER2,Online (self-service),"Parallelism, OpenMP",https://www.archer2.ac.uk/training/courses/210000-openmp-self-service/
Intermediate Modern Fortran,EPCC/ARCHER2,Online,"Programming languages, Fortran",https://www.archer2.ac.uk/training/courses/index.html?dev=0&test=0&gapi=0&db=0&od=0&gh=0&gl=0&tr=0&browser=0&picker=0&mode=device&export=https%3A%2F%2Fconvert.diagrams.net%2Fnode%2Fexport&disableUpdate=0&enableSpellCheck=0&enableStoreBkp=1&isGoogleFontsEnabled=0&appLang=en-US#intermediate-modern-fortran
Modern C++ for Computational Scientists,EPCC/ARCHER2,Online,"Programming languages, C++",https://www.archer2.ac.uk/training/courses/index.html?dev=0&test=0&gapi=0&db=0&od=0&gh=0&gl=0&tr=0&browser=0&picker=0&mode=device&export=https%3A%2F%2Fconvert.diagrams.net%2Fnode%2Fexport&disableUpdate=0&enableSpellCheck=0&enableStoreBkp=1&isGoogleFontsEnabled=0&appLang=en-US#modern-c-for-computational-scientists
Efficient Parallel IO,EPCC/ARCHER2,Online,"Parallelism, I/O, Performance",https://www.archer2.ac.uk/training/courses/index.html?dev=0&test=0&gapi=0&db=0&od=0&gh=0&gl=0&tr=0&browser=0&picker=0&mode=device&export=https%3A%2F%2Fconvert.diagrams.net%2Fnode%2Fexport&disableUpdate=0&enableSpellCheck=0&enableStoreBkp=1&isGoogleFontsEnabled=0&appLang=en-US#efficient-parallel-io
Advanced MPI,EPCC/ARCHER2,Online,"Parallelism, MPI",https://www.archer2.ac.uk/training/courses/index.html?dev=0&test=0&gapi=0&db=0&od=0&gh=0&gl=0&tr=0&browser=0&picker=0&mode=device&export=https%3A%2F%2Fconvert.diagrams.net%2Fnode%2Fexport&disableUpdate=0&enableSpellCheck=0&enableStoreBkp=1&isGoogleFontsEnabled=0&appLang=en-US#advanced-mpi
Advanced OpenMP,EPCC/ARCHER2,Online,"Parallelism, OpenMP",https://www.archer2.ac.uk/training/courses/index.html?dev=0&test=0&gapi=0&db=0&od=0&gh=0&gl=0&tr=0&browser=0&picker=0&mode=device&export=https%3A%2F%2Fconvert.diagrams.net%2Fnode%2Fexport&disableUpdate=0&enableSpellCheck=0&enableStoreBkp=1&isGoogleFontsEnabled=0&appLang=en-US#advanced-openmp
Single Node Performance Optimisation,EPCC/ARCHER2,Online,"Parallelism, OpenMP, Performance",https://www.archer2.ac.uk/training/courses/index.html?dev=0&test=0&gapi=0&db=0&od=0&gh=0&gl=0&tr=0&browser=0&picker=0&mode=device&export=https%3A%2F%2Fconvert.diagrams.net%2Fnode%2Fexport&disableUpdate=0&enableSpellCheck=0&enableStoreBkp=1&isGoogleFontsEnabled=0&appLang=en-US#single-node-performance-optimisation
Core-Level Performance Engineering,NHR@FAU,Upcoming,Performance,https://hpc.fau.de/teaching/tutorials-and-courses/performance-engineering/clpe/
Node-Level Performance Engineering,NHR@FAU,Upcoming,"Parallelism, OpenMP, Performance",https://hpc.fau.de/teaching/tutorials-and-courses/performance-engineering/nlpe/
Introduction to the LIKWID Tool Suite,NHR@FAU,Online,"Performance, Tools",https://hpc.fau.de/teaching/tutorials-and-courses/#introduction-to-the-likwid-tool-suite
GPU Performance Engineering,NHR@FAU,Upcoming,"Parallelism, GPU, Performance",https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/gpu-performance-engineering/
NHR Perflab Seminar,NHR@FAU,Online,"Seminar, Community",https://hpc.fau.de/research/nhr-perflab-seminar-series/
Introduction to CUDA C/C++,NHR@FAU,Online,"Parallelism, GPU, C++",https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/cuda/
Scaling CUDA-Accelerated Applications,NHR@FAU,Online,"Parallelism, GPU, Performance",https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/scaling-cuda/
C++ for Beginners,NHR@FAU,Online,"Programming languages, C++",https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/cpp-beginner/
Modern C++ Software Design (Advanced) ,NHR@FAU,Online,"Programming languages, Software practice, C++",https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/cpp-sw-design/
Fundamental of Accelerated Computing with Modern CUDA C++,NHR@FAU,Online,"Parallelism, GPU, C++",https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/dli-modern-cuda/
Choosing GPU Programming Approaches,NHR@FAU,Online,"Parallelism, GPU",https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/gpu-approaches/
User and Developer Perspectives on Parallel I/O,NHR@GWDG,Online,"Parallelism, I/O",https://academy.gwdg.de/p/event.xhtml?id=6916eca65067a75055a4c0d1
Deep Dive into Containers,NHR@GWDG,Online,"Software practice, Containers",https://academy.gwdg.de/p/event.xhtml?id=69f7351fe3e2557f1b42c65c
Using Jupyter Notebooks on HPC,NHR@GWDG,Online,Jupyter,https://academy.gwdg.de/p/event.xhtml?id=69f72823e3e2557f1b42c63e
Ansys on Cluster and Post-Processing of Simulation Results,NHR@GWDG,Online,User-specific,https://academy.gwdg.de/p/event.xhtml?id=69f72bc8e3e2557f1b42c646
Performance Engineering Tools for AI and HPC Workloads,NHR@GWDG,Online,"ML, Performance, Tools",https://academy.gwdg.de/p/event.xhtml?id=69f72cfbe3e2557f1b42c649
Performance Engineering in ML Workloads Using Score-P and Vampir,NHR@GWDG,Online,"ML, Performance, Tools",https://academy.gwdg.de/p/event.xhtml?id=69f731fbe3e2557f1b42c653
Debugging Scientific Applications - Illustration on OpenFOAM,NHR@GWDG,Online,"Software practice, Debugging",https://academy.gwdg.de/p/event.xhtml?id=69f7334be3e2557f1b42c657
HPC Cafe,NHR@KIT,Online,"Seminar, Community",https://www.nhr.kit.edu/events.php/event/60386#calendar_top
HPC Tuning and Analysis,NHR@PC2,Online,"Parallelism, Performance",https://pc2.uni-paderborn.de/training
Introduction to Julia for High Performance Computing,NHR@PC2,Online,Julia,https://events.uni-paderborn.de/event/1052/
